Time (s), Throughput (bps), Average RTT (s), Packet Loss (packets)
0.1, 4480, 0.0503248, 0
0.2, 322240, 0.0578369, 0
0.3, 459840, 0.0542767, 0
0.4, 687680, 0.0564584, 0
0.5, 861120, 0.0569647, 0
0.6, 1.00736e+06, 0.057437, 0
0.7, 1.5424e+06, 0.0604017, 0
0.8, 2.11936e+06, 0.0679285, 0
0.9, 2.10464e+06, 0.0751221, 0
1, 2.14016e+06, 0.0972299, 0
1.1, 2.1088e+06, 0.119105, 0
1.2, 2.14016e+06, 0.141719, 1
1.3, 2.10464e+06, 0.164552, 2
1.4, 2.16672e+06, 0.179016, 1
1.5, 2.2832e+06, 0.167994, 3
1.6, 2.34336e+06, 0.1836, 2
1.7, 2.39616e+06, 0.199086, 0
1.8, 2.35872e+06, 0.189446, 0
1.9, 2.39616e+06, 0.108978, 0
2, 2.33376e+06, 0.110969, 0
2.1, 2.18368e+06, 0.126034, 0
2.2, 2.1088e+06, 0.131941, 0
2.3, 2.14016e+06, 0.131902, 0
2.4, 2.10464e+06, 0.132328, 0
2.5, 2.14016e+06, 0.131902, 0
2.6, 2.1088e+06, 0.131481, 0
2.7, 2.1088e+06, 0.131464, 0
2.8, 2.136e+06, 0.133491, 0
2.9, 2.1088e+06, 0.132509, 0
3, 2.14016e+06, 0.132953, 0
3.1, 2.10464e+06, 0.133401, 0
3.2, 2.14016e+06, 0.132953, 0
3.3, 2.1088e+06, 0.132841, 0
3.4, 2.14016e+06, 0.134003, 0
3.5, 2.10464e+06, 0.13444, 0
3.6, 2.14016e+06, 0.134003, 0
3.7, 2.1088e+06, 0.133571, 0
3.8, 2.1088e+06, 0.133554, 0
3.9, 2.136e+06, 0.13588, 0
4, 2.1088e+06, 0.1346, 0
4.1, 2.14016e+06, 0.135054, 0
4.2, 2.10464e+06, 0.135513, 0
4.3, 2.14016e+06, 0.135054, 0
4.4, 2.1088e+06, 0.135197, 0
4.5, 2.14016e+06, 0.136105, 0
4.6, 2.10464e+06, 0.136553, 0
4.7, 2.1088e+06, 0.135661, 0
4.8, 2.14016e+06, 0.136105, 0
4.9, 2.10464e+06, 0.136754, 0
5, 2.14016e+06, 0.137155, 0
5.1, 2.1088e+06, 0.13669, 0
5.2, 2.14016e+06, 0.137155, 0
5.3, 2.10464e+06, 0.137626, 0
5.4, 2.14016e+06, 0.137155, 0
5.5, 2.1088e+06, 0.137552, 0
5.6, 2.14016e+06, 0.138206, 0
5.7, 2.10464e+06, 0.138665, 0
5.8, 2.1088e+06, 0.137752, 0
5.9, 2.14016e+06, 0.138206, 0
6, 2.10464e+06, 0.139135, 0
6.1, 2.14016e+06, 0.139257, 0
6.2, 2.1088e+06, 0.13878, 0
6.3, 2.14016e+06, 0.139257, 0
6.4, 2.10464e+06, 0.139738, 0
6.5, 2.14016e+06, 0.139322, 0
6.6, 2.1088e+06, 0.139842, 0
6.7, 2.14016e+06, 0.140307, 0
6.8, 2.10464e+06, 0.140778, 0
6.9, 2.1088e+06, 0.139842, 0
7, 2.14016e+06, 0.140307, 0
7.1, 2.10464e+06, 0.141515, 0
7.2, 2.14016e+06, 0.141358, 0
7.3, 2.1088e+06, 0.14087, 0
7.4, 2.14016e+06, 0.141358, 0
7.5, 2.10464e+06, 0.141851, 0
7.6, 2.14016e+06, 0.141686, 0
7.7, 2.1088e+06, 0.141932, 0
7.8, 2.14016e+06, 0.142409, 0
7.9, 2.10464e+06, 0.14289, 0
8, 2.1088e+06, 0.141932, 0
8.1, 2.14016e+06, 0.142409, 0
8.2, 2.10464e+06, 0.143896, 0
8.3, 2.14016e+06, 0.143459, 0
8.4, 2.1088e+06, 0.142961, 0
8.5, 2.14016e+06, 0.143459, 0
8.6, 2.10464e+06, 0.143963, 0
8.7, 2.14016e+06, 0.14405, 0
8.8, 2.1088e+06, 0.144022, 0
8.9, 2.1088e+06, 0.144006, 0
9, 2.136e+06, 0.145502, 0
9.1, 2.1088e+06, 0.144022, 0
9.2, 2.14016e+06, 0.144707, 0
9.3, 2.10464e+06, 0.146076, 0
9.4, 2.14016e+06, 0.145561, 0
9.5, 2.1088e+06, 0.145051, 0
9.6, 2.14016e+06, 0.145561, 0
9.7, 2.10464e+06, 0.146076, 0
9.8, 2.14016e+06, 0.146414, 0
9.9, 2.1088e+06, 0.146113, 0
